company,location,latitude,longitude,text,color
Insulfoam LLC,"Aurora, CO",39.7294319,-104.8319195,"Insulfoam LLC<br>Warehouse Location: Aurora, CO",#f66aaf
Insulfoam LLC,"Mead, NE",41.2286493,-96.489212,"Insulfoam LLC<br>Warehouse Location: Mead, NE",#f66aaf
Insulfoam LLC,"Lakeland, FL",28.0394654,-81.9498042,"Insulfoam LLC<br>Warehouse Location: Lakeland, FL",#f66aaf
Alleguard - Huntington,"Greer, SC",34.9387279,-82.2270568,"Alleguard - Huntington<br>Warehouse Location: Greer, SC",#f7736f
Alleguard - Huntington,"Greenville, MI",43.1775314,-85.2527987,"Alleguard - Huntington<br>Warehouse Location: Greenville, MI",#f7736f
Alleguard - Huntington,"Radford, VA",37.13179239999999,-80.5764477,"Alleguard - Huntington<br>Warehouse Location: Radford, VA",#f7736f
Alleguard - Huntington,"West Brookfield, MA",42.2353463,-72.14116419999999,"Alleguard - Huntington<br>Warehouse Location: West Brookfield, MA",#f7736f
Alleguard - Huntington,"Monticello, AR",33.6296702,-91.8021856,"Alleguard - Huntington<br>Warehouse Location: Monticello, AR",#f7736f
Armstrong Brands,"Buffalo, NY",42.88644679999999,-78.8783689,"Armstrong Brands<br>Warehouse Location: Buffalo, NY",#f66d9e
EFP,"Elkhart, IN",41.6873832,-85.973517,"EFP<br>Warehouse Location: Elkhart, IN",#d78b31
